Code,wsw_labour,wsw_other,ed_train,empl,on_LR,Notes
BTE,1,,1,,,
BTW,1,,,1,,
C-UA,1,,,,1,
C-UB,1,,,,1,
CA,,1,,,,
DA,,1,,,,
FASS,1,,,1,,
FIS,1,,,1,,
FISH,1,,,1,,
INTN,1,,,1,,
IP,,1,,,,
LMAF,,,,,,Labour Market Act?!
O65,,,,,,?
OFP,,1,,,,
OFPJST,,1,,,,
OFPSPPT,,1,,,,
PRTA,,1,,,,
PTJI,1,,,1,,
SEMP,1,,,1,,
SMLH,1,,,1,,Smallholder on JA (previous version of Farm Assist)
SPC,,1,,,,
SPFT,,,,,,?
SPNC,,1,,,,
SPT,,1,,,,
SST,1,,,1,,
STEA,1,,,1,,
UA,1,,,,1,
UB,1,,,,1,
UBCO,,,,,1,
WCP,,1,,,,
WPGO,,1,,,,
YDI,1,,,1,,Youth Developmental Initiative
